Element,Transition,Theoretical_eV,Experimental_eV

Ne,KL 1,817.69,

Ne,KL 2,849.09,848.61

Ne,KL 3,849.17,848.61

Ne,KM 1,857.89,1

Ne,KM 2,857.89,1

Ne,KM 3,857.89,1

Ne,KM 4,857.89,1

Ne,KM 5,857.89,1

Ne,K edge,870.73,866.9001

Ne,L 1 edge,53.04,48.445

Ne,L 2 edge,21.63,21.661

Ne,L 3 edge,21.55,21.564

Na,KL 1,1 004.99,

Na,KL 2,1 041.77,1 040.98

Na,KL 3,1 041.94,1 040.98

Na,KM 1,1 073.0,1 071.12

Na,KM 2,1 071.12,1

Na,KM 3,1 071.12,1

Na,KM 4,1 071.12,1

Na,KM 5,1 071.12,1

Na,K edge,1 080.15,1 071.68

Na,L 1 M 1,68.0,

Na,L 1 edge,75.16,63.57

Na,L 2 M 1,31.3,

Na,L 2 edge,38.38,30.61

Na,L 3 M 1,31.09,

Na,L 3 edge,38.21,30.61

Mg,KL 1,1 211.54,

Mg,KL 2,1 254.14,1 253.437

Mg,KL 3,1 254.39,1 253.688

Mg,KM 1,1 303.5,1 302.20

Mg,KM 2,1 302.20,1

Mg,KM 3,1 302.20,1

Mg,KM 4,1 302.20,1

Mg,KM 5,1 302.20,1

Mg,K edge,1 312.30,1 303.403

Mg,L 1 M 1,92.0,

Mg,L 1 edge,100.75,62.839

Mg,L 2 M 1,49.4,

Mg,L 2 edge,58.16,49.732

Mg,L 3 M 1,49.14,

Mg,L 3 edge,57.90,49.454

Al,KL 1,1 438.94,

Al,KL 2,1 487.12,1 486.295

Al,KL 3,1 487.53,1 486.708

Al,KM 1,1 556.63,1 557.57

Al,KM 2,1 561.28,1 557.57

Al,KM 3,1 557.57,1

Al,KM 4,1 557.57,1

Al,KM 5,1 557.57,1

Al,K edge,1 569.56,1 559.893

Al,L 1 M 1,117.7,

Al,L 1 M 2,122.3,

Al,L 1 edge,130.62,87.005

Al,L 2 M 1,69.5,

Al,L 2 M 2,74.2,

Al,L 2 edge,82.44,72.760

Al,L 3 M 1,69.1,

Al,L 3 M 2,73.7,

Al,L 3 edge,82.03,72.760

Si,KL 1,1 686.54,

Si,KL 2,1 739.67,1 739.394

Si,KL 3,1 741.16,1 739.985

Si,KM 1,1 834.97,1 835.96

Si,KM 2,1 841.79,1 835.96

Si,KM 3,1 835.96,1

Si,KM 4,1 835.96,1

Si,KM 5,1 835.96,1

Si,K edge,1 850.26,1 840.05

Si,L 1 M 1,148.42,

Si,L 1 M 2,155.24,

Si,L 1 edge,163.72,149.80

Si,L 2 M 1,95.3,

