Element,Transition,Theoretical_eV,Experimental_eV
Ne,KL 1,817.69,
Ne,KL 2,849.09,848.61
Ne,KL 3,849.17,848.61
Ne,KM 1,857.89,1
Ne,KM 2,857.89,1
Ne,KM 3,857.89,1
Ne,KM 4,857.89,1
Ne,KM 5,857.89,1
Ne,K edge,870.73,866.9001
Ne,L 1 edge,53.04,48.445
Ne,L 2 edge,21.63,21.661
Ne,L 3 edge,21.55,21.564
Na,KL 1,1004.99,
Na,KL 2,1041.77,1040.98
Na,KL 3,1041.94,1040.98
Na,KM 1,1073.0,1071.12
Na,KM 2,1071.12,1
Na,KM 3,1071.12,1
Na,KM 4,1071.12,1
Na,KM 5,1071.12,1
Na,K edge,1080.15,1071.68
Na,L 1 M 1,68.0,
Na,L 1 edge,75.16,63.57
Na,L 2 M 1,31.3,
Na,L 2 edge,38.38,30.61
Na,L 3 M 1,31.09,
Na,L 3 edge,38.21,30.61
Mg,KL 1,1211.54,
Mg,KL 2,1254.14,1253.437
Mg,KL 3,1254.39,1253.688
Mg,KM 1,1303.5,1302.20
Mg,KM 2,1302.20,1
Mg,KM 3,1302.20,1
Mg,KM 4,1302.20,1
Mg,KM 5,1302.20,1
Mg,K edge,1312.30,1303.403
Mg,L 1 M 1,92.0,
Mg,L 1 edge,100.75,62.839
Mg,L 2 M 1,49.4,
Mg,L 2 edge,58.16,49.732
Mg,L 3 M 1,49.14,
Mg,L 3 edge,57.90,49.454
Al,KL 1,1438.94,
Al,KL 2,1487.12,1486.295
Al,KL 3,1487.53,1486.708
Al,KM 1,1556.63,1557.57
Al,KM 2,1561.28,1557.57
Al,KM 3,1557.57,1
Al,KM 4,1557.57,1
Al,KM 5,1557.57,1
Al,K edge,1569.56,1559.893
Al,L 1 M 1,117.7,
Al,L 1 M 2,122.3,
Al,L 1 edge,130.62,87.005
Al,L 2 M 1,69.5,
Al,L 2 M 2,74.2,
Al,L 2 edge,82.44,72.760
Al,L 3 M 1,69.1,
Al,L 3 M 2,73.7,
Al,L 3 edge,82.03,72.760
Si,KL 1,1686.54,
Si,KL 2,1739.67,1739.394
Si,KL 3,1741.16,1739.985
Si,KM 1,1834.97,1835.96
Si,KM 2,1841.79,1835.96
Si,KM 3,1835.96,1
Si,KM 4,1835.96,1
Si,KM 5,1835.96,1
Si,K edge,1850.26,1840.05
Si,L 1 M 1,148.42,
Si,L 1 M 2,155.24,
Si,L 1 edge,163.72,149.80
Si,L 2 M 1,95.3,
Si,L 2 M 2,102.11,
Si,L 2 edge,110.59,100.8
Si,L 3 M 1,93.81,
Si,L 3 M 2,100.63,
Si,L 3 edge,109.10,100.8
P,KL 1,1954.45,
P,KL 2,2013.14,2012.70
P,KL 3,2014.73,2013.68
P,KM 1,2136.1,2139.1
P,KM 2,2143.79,2139.1
P,KM 3,2140.82,2139.1
P,KM 4,2139.1,1
P,KM 5,2139.1,1
P,K edge,2154.24,2143.54
P,L 1 M 1,181.7,
P,L 1 M 2,189.34,
P,L 1 M 3,186.4,
P,L 1 edge,199.79,189.0
P,L 2 M 1,123.0,
P,L 2 M 2,130.65,
P,L 2 M 3,127.7,
P,L 2 edge,141.10,131.9
P,L 3 M 1,121.41,
P,L 3 M 2,129.07,
P,L 3 M 3,126.1,
P,L 3 edge,139.51,131.9
S,KL 1,2242.56,
S,KL 2,2307.01,2306.700
S,KL 3,2308.80,2307.885
S,KM 1,2460.1,
S,KM 2,2469.73,
S,KM 3,2467.53,2464.07
S,K edge,2481.71,2470.506
S,L 1 M 1,217.5,
S,L 1 M 2,227.17,
S,L 1 M 3,224.96,
S,L 1 edge,239.15,
S,L 2 M 1,153.1,148.66
S,L 2 M 2,162.72,
S,L 2 M 3,160.52,
S,L 2 edge,174.70,163.60
S,L 3 M 1,151.29,148.66
S,L 3 M 2,160.93,
S,L 3 M 3,158.73,
S,L 3 edge,172.91,163.820
Cl,KL 1,2550.96,
Cl,KL 2,2621.27,2620.846
Cl,KL 3,2623.67,2622.440
Cl,KM 1,2807.0,2815.60
Cl,KM 2,2819.04,2815.60
Cl,KM 3,2817.58,2815.60
Cl,KM 4,2815.60,1
Cl,KM 5,2815.60,1
Cl,K edge,2832.76,2819.639
Cl,L 1 M 1,256.0,
Cl,L 1 M 2,268.08,
Cl,L 1 M 3,266.62,
Cl,L 1 edge,281.80,270.0
Cl,L 2 M 1,185.7,184.14
Cl,L 2 M 2,197.77,
Cl,L 2 M 3,196.31,
Cl,L 2 edge,211.49,202.0
Cl,L 3 M 1,183.31,182.60
Cl,L 3 M 2,195.37,
Cl,L 3 M 3,193.91,
Cl,L 3 edge,209.09,200.0
K,KL 1,3229.98,
K,KL 2,3311.97,3311.1956
K,KL 3,3314.60,3313.9476
K,KM 1,3575.0,
K,KM 2,3591.78,3589.63
K,KM 3,3591.49,3589.63
K,KM 4,3602.78,1
K,KM 5,3602.78,1
K,KN 1,3611.14,
K,K edge,3616.22,3607.81
K,L 1 M 1,345.0,
K,L 1 M 2,361.81,
K,L 1 M 3,361.52,
K,L 1 N 1,381.16,
K,L 1 edge,386.25,378.60
K,L 2 M 1,263.0,262.45
K,L 2 M 2,279.81,
K,L 2 M 3,279.52,
K,L 2 N 1,299.17,
K,L 2 edge,304.25,294.5
K,L 3 M 1,260.38,259.703
K,L 3 M 2,277.18,
K,L 3 M 3,276.90,
K,L 3 N 1,296.54,
K,L 3 edge,301.62,294.5
Ca,KL 1,3598.89,
Ca,KL 2,3687.56,3688.128
Ca,KL 3,3690.98,3691.719
Ca,KM 1,3993.8,
Ca,KM 2,4014.32,4012.76
Ca,KM 3,4014.68,4012.76
Ca,KM 4,4032.47,1
Ca,KM 5,4032.47,1
Ca,KN 1,4043.20,
Ca,K edge,4049.35,4038.12
Ca,L 1 M 1,394.9,
Ca,L 1 M 2,415.43,
Ca,L 1 M 3,415.80,
Ca,L 1 N 1,444.32,
Ca,L 1 edge,450.46,438.50
Ca,L 2 M 1,306.2,306.43
Ca,L 2 M 2,326.76,
Ca,L 2 M 3,327.12,
Ca,L 2 M 4,344.97,1
Ca,L 2 N 1,355.64,
Ca,L 2 edge,361.79,352.92
Ca,L 3 M 1,302.80,302.69
Ca,L 3 M 2,323.34,
Ca,L 3 M 3,323.71,
Ca,L 3 M 4,341.27,1
Ca,L 3 M 5,341.27,1
Ca,L 3 N 1,352.23,
Ca,L 3 edge,358.37,349.34
Ti,KL 1,4404.59,
Ti,KL 2,4504.07,4504.9201
Ti,KL 3,4510.38,4510.8991
Ti,KM 1,4907.1,
Ti,KM 2,4930.86,4931.827
Ti,KM 3,4934.46,4931.827
Ti,KM 4,4965.95,4962.27
Ti,KM 5,4962.27,1
Ti,KN 1,4971.09,
Ti,K edge,4977.92,4964.58
Ti,L 1 M 1,502.5,
Ti,L 1 M 2,526.3,
Ti,L 1 M 3,529.9,
Ti,L 1 M 4,561.36,
Ti,L 1 N 1,566.50,
Ti,L 1 edge,573.33,561.05
Ti,L 2 M 1,403.0,401.37
Ti,L 2 M 2,426.8,
Ti,L 2 M 3,430.4,
Ti,L 2 M 4,461.88,458.35
Ti,L 2 N 1,467.03,
Ti,L 2 edge,473.85,454.31
Ti,L 3 M 1,396.7,395.35
Ti,L 3 M 2,420.5,
Ti,L 3 M 3,424.1,
Ti,L 3 M 4,455.57,452.16
Ti,L 3 M 5,452.16,1
Ti,L 3 N 1,460.72,
Ti,L 3 edge,467.55,454.31
V,KL 1,4838.50,
V,KL 2,4943.59,4944.671
V,KL 3,4951.79,4952.216
V,KM 1,5399.3,
V,KM 2,5424.42,5427.320
V,KM 3,5430.00,5427.320
V,KM 4,5465.33,5462.96
V,KM 5,5462.96,1
V,KN 1,5471.17,
V,K edge,5478.28,5463.757
V,L 1 M 1,560.8,
V,L 1 M 2,585.9,585.1
V,L 1 M 3,591.5,585.1
V,L 1 M 4,626.83,
V,L 1 N 1,632.67,
V,L 1 edge,639.78,626.86
V,L 2 M 1,455.7,453.48
V,L 2 M 2,480.8,
V,L 2 M 3,486.4,
V,L 2 M 4,521.74,519.2
V,L 2 N 1,527.58,
V,L 2 edge,534.69,519.72
V,L 3 M 1,447.5,446.46
V,L 3 M 2,472.6,
V,L 3 M 3,478.2,
V,L 3 M 4,513.54,511.27
V,L 3 M 5,511.27,1
V,L 3 N 1,519.38,
V,L 3 edge,526.50,512.21
Cr,KL 1,5293.35,
Cr,KL 2,5404.06,5405.5384
Cr,KL 3,5413.88,5414.8045
Cr,KM 1,5914.2,
Cr,KM 2,5940.74,5946.823
Cr,KM 3,5947.10,5946.823
Cr,KM 4,5986.82,5986.97
Cr,KM 5,5990.83,5986.97
Cr,KN 1,5989.03,
Cr,K edge,5995.66,5989.017
Cr,L 1 M 1,620.9,
Cr,L 1 M 2,647.4,653.9
Cr,L 1 M 3,653.8,653.9
Cr,L 1 M 4,693.47,
Cr,L 1 M 5,697.48,
Cr,L 1 N 1,695.68,
Cr,L 1 edge,702.31,742.4
Cr,L 2 M 1,510.2,510.22
Cr,L 2 M 2,536.7,
Cr,L 2 M 3,543.0,
Cr,L 2 M 4,582.76,582.90
Cr,L 2 M 5,586.76,
Cr,L 2 N 1,584.96,
Cr,L 2 edge,591.60,692.6
Cr,L 3 M 1,500.3,500.33
Cr,L 3 M 2,526.9,
Cr,L 3 M 3,533.2,
Cr,L 3 M 4,572.94,572.9
Cr,L 3 M 5,576.95,572.9
Cr,L 3 N 1,575.15,
Cr,L 3 edge,581.78,598.9
Mn,KL 1,5769.18,
Mn,KL 2,5886.20,5887.6859
Mn,KL 3,5898.10,5898.8010
Mn,KM 1,6455.7,
Mn,KM 2,6485.39,6490.585
Mn,KM 3,6492.7,6490.585
Mn,KM 4,6537.52,6535.36
Mn,KM 5,6538.54,6535.36
Mn,KN 1,6544.46,
Mn,K edge,6552.12,6537.667
Mn,L 1 M 1,686.5,
Mn,L 1 M 2,716.2,721.2
Mn,L 1 M 3,723.5,721.2
Mn,L 1 M 4,768.34,
Mn,L 1 M 5,769.36,
Mn,L 1 N 1,775.27,
Mn,L 1 edge,782.94,769.48
Mn,L 2 M 1,569.5,567.42
Mn,L 2 M 2,599.2,
Mn,L 2 M 3,606.5,
Mn,L 2 M 4,651.32,648.8
Mn,L 2 M 5,652.34,
Mn,L 2 N 1,658.26,
Mn,L 2 edge,665.92,649.88
Mn,L 3 M 1,557.6,556.22
Mn,L 3 M 2,587.3,
Mn,L 3 M 3,594.6,
Mn,L 3 M 4,639.42,637.44
Mn,L 3 M 5,640.44,637.44
Mn,L 3 N 1,646.36,
Mn,L 3 edge,654.02,638.89
Fe,KL 1,6266.07,
Fe,KL 2,6389.51,6391.0264
Fe,KL 3,6403.13,6404.0062
Fe,KM 1,7020.2,
Fe,KM 2,7053.23,7058.175
Fe,KM 3,7059.9,7058.175
Fe,KM 4,7110.59,7108.26
Fe,KM 5,7111.50,7108.26
Fe,KN 1,7117.93,
Fe,K edge,7125.87,7110.747
Fe,L 1 M 1,754.1,
Fe,L 1 M 2,787.2,792.2
Fe,L 1 M 3,793.8,792.2
Fe,L 1 M 4,844.52,
Fe,L 1 M 5,845.44,
Fe,L 1 N 1,851.86,
Fe,L 1 edge,859.80,848.6
Fe,L 2 M 1,630.6,627.8
Fe,L 2 M 2,663.7,
Fe,L 2 M 3,670.4,
Fe,L 2 M 4,721.07,718.32
Fe,L 2 M 5,721.99,
Fe,L 2 N 1,728.41,
Fe,L 2 edge,736.35,720.74
Fe,L 3 M 1,617.0,615.30
Fe,L 3 M 2,650.1,
Fe,L 3 M 3,656.8,
Fe,L 3 M 4,707.46,704.8
Fe,L 3 M 5,708.38,704.8
Fe,L 3 N 1,714.80,
Fe,L 3 edge,722.74,707.46
Co,KL 1,6784.08,
Co,KL 2,6914.08,6915.5380
Co,KL 3,6929.63,6930.3780
Co,KM 1,7609.0,
Co,KM 2,7645.5,7649.445
Co,KM 3,7651.5,7649.445
Co,KM 4,7708.35,7705.98
Co,KM 5,7709.15,7705.98
Co,KN 1,7716.05,
Co,K edge,7724.26,7708.776
Co,L 1 M 1,824.9,
Co,L 1 M 2,861.4,866.4
Co,L 1 M 3,867.4,866.4
Co,L 1 M 4,924.27,
Co,L 1 M 5,925.07,
Co,L 1 N 1,931.97,
Co,L 1 edge,940.18,925.26
Co,L 2 M 1,694.9,693.8
Co,L 2 M 2,731.5,
Co,L 2 M 3,737.4,
Co,L 2 M 4,794.27,791.41
Co,L 2 M 5,795.08,
Co,L 2 N 1,801.98,
Co,L 2 edge,810.18,793.84
Co,L 3 M 1,679.3,677.80
Co,L 3 M 2,715.9,
Co,L 3 M 3,721.9,
Co,L 3 M 4,778.71,776.25
Co,L 3 M 5,779.52,776.25
Co,L 3 N 1,786.42,
Co,L 3 edge,794.62,779.03
Ni,KL 1,7323.29,
Ni,KL 2,7459.96,7461.0343
Ni,KL 3,7477.72,7478.2521
Ni,KM 1,8222.2,
Ni,KM 2,8262.4,8264.775
Ni,KM 3,8267.6,8264.775
Ni,KM 4,8330.91,8328.68
Ni,KM 5,8331.59,8328.68
Ni,KN 1,8338.94,
Ni,K edge,8347.42,8331.486
Ni,L 1 M 1,898.9,
Ni,L 1 M 2,939.1,940.7
Ni,L 1 M 3,944.3,940.7
